수행시간,테스트번호,테스트케이스,행동,성공여부,시간차,진행시간,담당자,이메일,추가
2024-02-12 18:02,a01,다음메인화면 확인,메인화면이_접속이_되는가다음,PASS,0.0,1.499,개발1팀,kuick1@hanmail.net,
2024-02-12 18:02,a02,다음메인화면 확인,지도버튼이_있는가,PASS,0.18,1.68,개발1팀,kuick1@hanmail.net,
2024-02-12 18:02,a03,다음메인화면 확인,쇼핑버튼이_존재하는가,PASS,0.09,1.768,개발1팀,kuick1@hanmail.net,
2024-02-12 18:02,a04,다음메인화면 확인,로그인버튼이_눌러지는가,PASS,0.64,2.41,개발1팀,kuick1@hanmail.net,
2024-02-12 18:02,a05,네이버메인화면,네이버_메인화면이_접속이_되는가네이버,PASS,0.0,0.622,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a06,네이버메인화면,지도버튼이_있는가,PASS,0.43,1.053,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a07,네이버메인화면,쇼핑버튼이_존재하는가,PASS,0.05,1.105,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a08,네이버메인화면,글씨_입력하기,PASS,0.07,1.176,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a09,네이버메인화면,로그인버튼이_눌러지는가,PASS,0.82,1.996,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a10,네이버메인화면,잠깐_쉬어라,PASS,2.03,4.023,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a11,링크여는 화면,링크여는_화면,PASS,0.0,2.43,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a12,링크여는 화면,로그인버튼이_눌러지는가,PASS,0.12,2.555,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a13,링크여는 화면,잠깐_쉬어라,PASS,1.02,3.58,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a14,링크여는 화면,다음창으로_이동해라,PASS,0.02,3.603,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a15,링크여는 화면,창을_닫아라,PASS,0.02,3.623,개발2팀,kuick1@naver.com,
2024-02-12 18:02,a16,드롭박스 확인,링크여는_화면,PASS,0.0,2.813,개발3팀,kuick1@naver.com,
2024-02-12 18:02,a17,드롭박스 확인,아이프레임변경,PASS,0.19,3.007,개발3팀,kuick1@naver.com,
