수행시간,테스트번호,테스트케이스,행동,성공여부,시간차,진행시간,담당자,이메일,추가
2024-02-12 18:23,a01,다음메인화면 확인,메인화면이_접속이_되는가다음,PASS,0.0,1.861,개발1팀,kuick1@hanmail.net,
2024-02-12 18:23,a02,다음메인화면 확인,지도버튼이_있는가,PASS,0.32,2.176,개발1팀,kuick1@hanmail.net,
2024-02-12 18:23,a03,다음메인화면 확인,쇼핑버튼이_존재하는가,PASS,0.4,2.577,개발1팀,kuick1@hanmail.net,
2024-02-12 18:23,a04,다음메인화면 확인,로그인버튼이_눌러지는가,PASS,0.92,3.497,개발1팀,kuick1@hanmail.net,
2024-02-12 18:23,a05,네이버메인화면,네이버_메인화면이_접속이_되는가네이버,PASS,0.0,1.015,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a06,네이버메인화면,지도버튼이_있는가,PASS,0.49,1.507,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a07,네이버메인화면,쇼핑버튼이_존재하는가,PASS,0.35,1.854,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a08,네이버메인화면,글씨_입력하기,PASS,0.28,2.135,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a09,네이버메인화면,로그인버튼이_눌러지는가,PASS,1.05,3.181,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a10,네이버메인화면,잠깐_쉬어라,PASS,2.03,5.206,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a11,링크여는 화면,링크여는_화면,PASS,0.0,2.493,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a12,링크여는 화면,로그인버튼이_눌러지는가,PASS,0.5,2.988,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a13,링크여는 화면,잠깐_쉬어라,PASS,1.02,4.008,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a14,링크여는 화면,다음창으로_이동해라,PASS,1.23,5.242,개발2팀,kuick1@naver.com,
2024-02-12 18:23,a15,링크여는 화면,창을_닫아라,PASS,0.71,5.953,개발2팀,kuick1@naver.com,
2024-02-12 18:24,a16,드롭박스 확인,링크여는_화면,PASS,0.0,3.952,개발3팀,kuick1@naver.com,
2024-02-12 18:24,a17,드롭박스 확인,아이프레임변경,PASS,0.47,4.419,개발3팀,kuick1@naver.com,
