수행시간,테스트번호,테스트케이스,행동,성공여부,시간차,진행시간,담당자,이메일,추가
2024-02-13 15:53,a01,다음메인화면 확인,메인화면이_접속이_되는가다음,PASS,0.0,2.127,개발1팀,kuick1@hanmail.net,
2024-02-13 15:53,a02,다음메인화면 확인,지도버튼이_있는가,PASS,0.6,2.729,개발1팀,kuick1@hanmail.net,
2024-02-13 15:53,a03,다음메인화면 확인,쇼핑버튼이_존재하는가,PASS,0.5,3.232,개발1팀,kuick1@hanmail.net,
2024-02-13 15:53,a04,다음메인화면 확인,로그인버튼이_눌러지는가,PASS,1.16,4.391,개발1팀,kuick1@hanmail.net,
2024-02-13 15:54,a05,네이버메인화면,네이버_메인화면이_접속이_되는가네이버,PASS,0.0,1.419,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a06,네이버메인화면,지도버튼이_있는가,PASS,0.52,1.941,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a07,네이버메인화면,쇼핑버튼이_존재하는가,PASS,0.42,2.362,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a08,네이버메인화면,글씨_입력하기,PASS,0.52,2.887,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a09,네이버메인화면,로그인버튼이_눌러지는가,PASS,1.6,4.485,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a10,네이버메인화면,잠깐_쉬어라,PASS,2.02,6.509,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a11,링크여는 화면,링크여는_화면,PASS,0.0,2.572,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a12,링크여는 화면,로그인버튼이_눌러지는가,PASS,0.78,3.354,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a13,링크여는 화면,잠깐_쉬어라,PASS,1.02,4.379,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a14,링크여는 화면,다음창으로_이동해라,PASS,1.4,5.782,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a15,링크여는 화면,창을_닫아라,PASS,0.82,6.601,개발2팀,kuick1@naver.com,
2024-02-13 15:54,a16,드롭박스 확인,링크여는_화면,PASS,0.0,3.991,개발3팀,kuick1@naver.com,
2024-02-13 15:54,a17,드롭박스 확인,아이프레임변경,PASS,0.6,4.591,개발3팀,kuick1@naver.com,
