수행시간,테스트번호,테스트케이스,행동,성공여부,시간차,진행시간,담당자,이메일,추가
2024-02-13 15:47,a01,다음메인화면 확인,메인화면이_접속이_되는가다음,PASS,0.0,5.259,개발1팀,kuick1@hanmail.net,
2024-02-13 15:47,a02,다음메인화면 확인,지도버튼이_있는가,PASS,0.19,5.45,개발1팀,kuick1@hanmail.net,
2024-02-13 15:47,a03,다음메인화면 확인,쇼핑버튼이_존재하는가,PASS,0.12,5.573,개발1팀,kuick1@hanmail.net,
2024-02-13 15:47,a04,다음메인화면 확인,로그인버튼이_눌러지는가,PASS,0.75,6.326,개발1팀,kuick1@hanmail.net,
2024-02-13 15:47,a05,네이버메인화면,네이버_메인화면이_접속이_되는가네이버,PASS,0.0,0.896,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a06,네이버메인화면,지도버튼이_있는가,PASS,0.57,1.463,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a07,네이버메인화면,쇼핑버튼이_존재하는가,PASS,0.09,1.551,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a08,네이버메인화면,글씨_입력하기,PASS,0.08,1.63,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a09,네이버메인화면,로그인버튼이_눌러지는가,PASS,0.86,2.485,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a10,네이버메인화면,잠깐_쉬어라,PASS,2.02,4.503,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a11,링크여는 화면,링크여는_화면,PASS,0.0,1.782,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a12,링크여는 화면,로그인버튼이_눌러지는가,PASS,0.29,2.077,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a13,링크여는 화면,잠깐_쉬어라,PASS,1.02,3.102,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a14,링크여는 화면,다음창으로_이동해라,PASS,0.08,3.182,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a15,링크여는 화면,창을_닫아라,PASS,0.03,3.21,개발2팀,kuick1@naver.com,
2024-02-13 15:47,a16,드롭박스 확인,링크여는_화면,PASS,0.45,3.656,개발3팀,kuick1@naver.com,
2024-02-13 15:47,a17,드롭박스 확인,아이프레임변경,PASS,0.21,3.861,개발3팀,kuick1@naver.com,
