수행시간,테스트번호,테스트케이스,행동,성공여부,시간차,진행시간,담당자,이메일,추가
2024-02-12 18:20,a01,다음메인화면 확인,메인화면이_접속이_되는가다음,PASS,0.0,2.148,개발1팀,kuick1@hanmail.net,
2024-02-12 18:20,a02,다음메인화면 확인,지도버튼이_있는가,PASS,0.4,2.552,개발1팀,kuick1@hanmail.net,
2024-02-12 18:20,a03,다음메인화면 확인,쇼핑버튼이_존재하는가,PASS,0.41,2.96,개발1팀,kuick1@hanmail.net,
2024-02-12 18:20,a04,다음메인화면 확인,로그인버튼이_눌러지는가,PASS,0.81,3.774,개발1팀,kuick1@hanmail.net,
2024-02-12 18:20,a05,네이버메인화면,네이버_메인화면이_접속이_되는가네이버,PASS,0.0,0.965,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a06,네이버메인화면,지도버튼이_있는가,PASS,0.32,1.288,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a07,네이버메인화면,쇼핑버튼이_존재하는가,PASS,0.3,1.586,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a08,네이버메인화면,글씨_입력하기,PASS,0.32,1.911,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a09,네이버메인화면,로그인버튼이_눌러지는가,PASS,0.93,2.84,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a10,네이버메인화면,잠깐_쉬어라,PASS,2.03,4.871,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a11,링크여는 화면,링크여는_화면,PASS,0.0,2.102,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a12,링크여는 화면,로그인버튼이_눌러지는가,PASS,0.51,2.61,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a13,링크여는 화면,잠깐_쉬어라,PASS,1.03,3.638,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a14,링크여는 화면,다음창으로_이동해라,PASS,1.11,4.747,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a15,링크여는 화면,창을_닫아라,PASS,0.69,5.441,개발2팀,kuick1@naver.com,
2024-02-12 18:20,a16,드롭박스 확인,링크여는_화면,PASS,0.0,3.104,개발3팀,kuick1@naver.com,
2024-02-12 18:20,a17,드롭박스 확인,아이프레임변경,PASS,0.47,3.575,개발3팀,kuick1@naver.com,
